country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,year
Portugal,This caramel-flavored wine has a light red fruit character. It is off dry and needs to be severely chilled.,,82,8.0,Vinho Verde,,,Roger Voss,@vossroger,Calamares 2014 Rosé (Vinho Verde),Rosé,Calamares,2014.0
US,"Sweetly ripe and oaky, with pineapple marmalade, lemon custard, vanilla and smoky meringue flavors. The alcohol is a refreshingly low 13.9%.",,87,24.0,California,Russian River Valley,Sonoma,,,Girard 2007 Chardonnay (Russian River Valley),Chardonnay,Girard,2007.0
US,"This wine is not called a rosé on the label, but it has a definite light-salmon color and refreshing light red cherry and subtle strawberry flavors that resemble rosé. It feels medium bodied, smooth and frothy, and not too tart.",Méthode Champenoise Brut,88,25.0,California,North Coast,North Coast,Jim Gordon,@gordone_cellars,Breathless NV Méthode Champenoise Brut Sparkling (North Coast),Sparkling Blend,Breathless,
US,"Plum, dark chocolate, blackberry jam and licorice flavors star in this ambitious Cabernet. It's soft and appealing, but a little too one-dimensional, and it's hard to see it aging.",Saunders Vineyard Reserve,85,50.0,California,Carmel Valley,Central Coast,,,Boëté 2009 Saunders Vineyard Reserve Cabernet Sauvignon (Carmel Valley),Cabernet Sauvignon,Boëté,2009.0
Chile,"Dark, smoky aromas of freshly laid pavement come with leathery berry scents along with wood and eucalyptus notes. Bright to the point of being aggressive on the palate, this shows spicy, peppery flavors of red-berry fruits and oak. A woody, resiny finish is potent like the rest of this Cabernet. Drink through 2020.",Medalla Real Gran Reserva,89,20.0,Maipo Valley,,,Michael Schachner,@wineschach,Santa Rita 2010 Medalla Real Gran Reserva Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Santa Rita,2010.0
Austria,"Lifted notes of wild, aromatic raspberry hover above a far earthier base of chestnut. But this wine is mutable: sniffed at another moment its red cherry and peony petal flavors come to the fore. The palate is light bodied and has a firm acidic backbone, destining it for the table. There are mystical edges of woodsmoke and pepper but what remains and lingers is pure cherry and raspberry fruit.",Rosenberg,94,55.0,Burgenland,,,Anne Krebiehl MW,@AnneInVino,Pittnauer 2011 Rosenberg St. Laurent (Burgenland),St. Laurent,Pittnauer,2011.0
US,"Longtime value producer Firesteed has another winner. This pretty Pinot shows excellent ripeness and full-bodied fruit flavor, thanks to the southern-Oregon components. Strawberries and tart raspberries come through cleanly, with a touch of cola in the aftertaste.",,88,17.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Firesteed 2013 Pinot Noir (Oregon),Pinot Noir,Firesteed,2013.0
US,"Possesses deep flavors of currants and blackberries, and yet you still have to wonder why it merits bottling on its own. It's bone-dry and tannic, and its austerity is a challenge. —S.H.",T-bar-T,86,26.0,California,Alexander Valley,Sonoma,,,Iron Horse 1999 T-bar-T Cabernet Franc (Alexander Valley),Cabernet Franc,Iron Horse,1999.0
France,"Here's a delicate white that's a nice poolside sipper, with soft suggestions of white florals, tropical fruit and sweet citrus. The palate is clean and balanced with pineapple-flavored acidity keeping things vibrant in the mouth.",Le Verger,84,11.0,Languedoc-Roussillon,Pays d'Oc,,Lauren Buzzeo,@laurbuzz,Tortoise Creek 2009 Le Verger Viognier (Pays d'Oc),Viognier,Tortoise Creek,2009.0
Italy,"The nose is colored by some peach and white mineral that make up a simple but correct wine that gets the job done. The wine is lean, neutral and watery in the mouth.",Pinot Grigio,83,9.0,Northeastern Italy,Delle Venezie,,,,Zonin 2007 Pinot Grigio Pinot Grigio (Delle Venezie),Pinot Grigio,Zonin,2007.0
US,"Burgundian in every way, this deceptively light (in color, alcohol and impact) wine rewards your attention with its finesse and complexity. Rhubarb, pomegranate, peppermint, earth and savory herbs are all highlights, and the length is equally impressive. It's low in alcohol, but high in aging potential.",Private Stash #9,91,70.0,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine ,Roco 2011 Private Stash #9 Pinot Noir,Pinot Noir,Roco,2011.0
Argentina,This is an aromatic floral Torrontés with hints of air freshener and bath oil on the nose. A palate with zesty acidity frames crisp flavors of citrus pulp and peel. A racy finish tastes of lime before showing patented varietal bitterness.,Maipe,87,13.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Chakana 2016 Maipe Torrontés (Mendoza),Torrontés,Chakana,2016.0
US,"Released at less than one year of age, this wine is immature, almost a barrel sample. It's vibrant in cherries, milk chocolate and new oak, but disjointed. Needs time. Give it until late 2009 to come together.",Garys' Vineyard,87,59.0,California,Santa Lucia Highlands,Central Coast,,,Testarossa 2007 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,2007.0
Portugal,"A bold, ripe, perfumed wine with Baga tannins and acidity, this is not a wine for easy drinking—demanding rich, oily or fatty foods instead. It's a great example of this notoriously fickle grape and is packed with spicy fruit. Drink from 2018.",Encontro,90,18.0,Bairrada,,,Roger Voss,@vossroger,Global Wines 2011 Encontro Baga (Bairrada),Baga,Global Wines,2011.0
Italy,"The subtle, subdued nose is of perfumed spice, dried red rose and currant. But there is chewy softness here and enough extraction to hold the wine firm on the palate. The structure is there but the fruit definition is less apparent.",Carillon,89,60.0,Tuscany,Brunello di Montalcino,,,,Vini Italiani da Sogno 2007 Carillon  (Brunello di Montalcino),Sangiovese Grosso,Vini Italiani da Sogno,2007.0
Italy,"This opens with subdued aromas of dark berry, cake spice, espresso and a whiff of pressed violet. On the straightforward palate, hints of white pepper and star anise add depth to dried morello cherry while solid tannins lend support.",San Carlo,88,29.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Dezzani 2012 San Carlo  (Barolo),Nebbiolo,Dezzani,2012.0
US,"There's a harsh edge to this wine, made by a Vermont-based winery from California grapes. Its aromas and flavors are elusive and the wine, if it's to be drunk at all, should be drunk soon.",,80,23.0,America,,,Virginie Boone,@vboone,Honora NV Cabernet Sauvignon (America),Cabernet Sauvignon,Honora,
Portugal,"A fine and rich blend of Chardonnay and Arinto, this wine has touches of spice and vanilla as well as crisp, bright fruit tones. Citrus and yellow fruit flavors show strongly through the lacy texture of this wine, which has a cool character from the proximity of the vines to the ocean. Drink now.",Quinta do Rocio,90,15.0,Lisboa,,,Roger Voss,@vossroger,DFJ Vinhos 2013 Quinta do Rocio White (Lisboa),Portuguese White,DFJ Vinhos,2013.0
Italy,"Made from organically farmed fruit, this bright Vermentino opens with pretty aromas of peach, honey, pear and Golden Delicious apple. The mouthfeel is smooth and silky.",Melacce,87,18.0,Tuscany,Montecucco,,,,Collemassari 2011 Melacce Vermentino (Montecucco),Vermentino,Collemassari,2011.0
US,"Lusty and forward, this Cab blasts off with explosive cherry, red and black currant, licorice, spicy red plum and mocha flavors. Not very subtle, but it's dry and rich in steak-busting tannins.",,85,16.0,California,Mendocino County,,,,Bonterra 2006 Cabernet Sauvignon (Mendocino County),Cabernet Sauvignon,Bonterra,2006.0
France,"Owned by the Borie family, one of the grand families of Bordeaux, the vineyard forms part of Château Fourcas-Borie. The wine, with its dark tannins and dense texture, is powerful and concentrated. Layers of tannins show most strongly at this young stage, while the ripe juicy fruit will develop well. It is going to be a fine wine. Drink from 2021.",,90,25.0,Bordeaux,Listrac-Médoc,,Roger Voss,@vossroger,Château Ducluzeau 2014  Listrac-Médoc,Bordeaux-style Red Blend,Château Ducluzeau,2014.0
France,"90-92 Barrel sample. Dense tannins over delicious blackberry juicy fruit. A finely structured wine, good freshness and sweet aftertaste.",Barrel sample,91,,Bordeaux,Moulis-en-Médoc,,Roger Voss,@vossroger,Château Chasse-Spleen 2009 Barrel sample  (Moulis-en-Médoc),Bordeaux-style Red Blend,Château Chasse-Spleen,2009.0
France,"Dominated by black currant and smoke flavors, this is a light, fruity wine that's ready to drink. The tannins are still firm and not likely to soften.",Cuvée Lucie,85,,Bordeaux,Médoc,,Roger Voss,@vossroger,Les Hauts de Tousquiron 2007 Cuvée Lucie  (Médoc),Bordeaux-style Red Blend,Les Hauts de Tousquiron,2007.0
France,"This is the young fruity wine from the Cèdre estate that also produces some of the most serious wines in Cahors. It is soft, packed with black fruits and with layers of spicy acidity. There is just a touch of tannin, which will make the wine a great barbecue accompaniment this summer.",Cèdre Héritage,86,15.0,Southwest France,Cahors,,Roger Voss,@vossroger,Château du Cèdre 2015 Cèdre Héritage Malbec (Cahors),Malbec,Château du Cèdre,2015.0
Italy,"The nose is quite shy but eventually reveals whiffs of scorched soil, leather and a balsamic note. The lean straightforward palate offers dried wild cherry and a hint of dark spice alongside grainy, rather fleeting tannins that leave an astringent finish.",Riserva,86,,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Vasco Sassetti 2010 Riserva  (Brunello di Montalcino),Sangiovese,Vasco Sassetti,2010.0
Portugal,"This is a richly structured wine. With its juicy red fruits and generous structure, it is delicious now. Berry flavors and acidity go with the mineral edge of the texture to create a wine that is packed with acidity, tannins and fruit. Drink now.",Tinto,90,15.0,Dão,,,Roger Voss,@vossroger,Casa da Passarella 2014 Tinto Red (Dão),Portuguese Red,Casa da Passarella,2014.0
US,"From the gorgeous, mighty Pagani, planted in 1895, comes this powerfully rich and refined wine, a study in woodsy rusticity and layers of fig, blackberry and a stick of cinnamon. Full bodied and luxurious on the palate, a lithe jolt of acidity rears its head just before the finish, trying to compete with the licorice and leather. Drink now through 2020.",Pagani Ranch,93,46.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Carlisle 2013 Pagani Ranch Zinfandel (Sonoma Valley),Zinfandel,Carlisle,2013.0
France,"Features attractive aromas of chocolate, prunes, leather and soy sauce that are fairly complex and mature. The flavors are similar, with touches of earth and black cherries. Drink now.",,84,20.0,Provence,Côtes de Provence,,Joe Czerwinski,@JoeCz,Château des Sarrins 1997 Red (Côtes de Provence),Rhône-style Red Blend,Château des Sarrins,1997.0
US,"This is certainly dry, as stated, but it doesn't have the texture and stuffing that the best dry Rieslings bring to the show. Simple and straightforward lemon and grapefruit flavors tell the whole story, and those high acids leave a sour impression.",Dry,86,19.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Lemelson 2015 Dry Riesling (Dundee Hills),Riesling,Lemelson,2015.0
France,"With baked apple aromas, this is a soft, sweet, creamy wine, remaining fresh, with hints of white fruits and honey, finishing with lively acidity.",Moelleux,87,19.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Château Moncontour 2009 Moelleux  (Vouvray),Chenin Blanc,Château Moncontour,2009.0
US,"From the Ranch House block of the famous vineyard, this fleshy, lushly layered wine made by Kenneth Juhasz, is robust with cardamom and strawberry flavors. It builds intensity as it opens, revealing a velvety texture.",Durell Vineyard,91,55.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Dunstan 2014 Durell Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Dunstan,2014.0
Chile,"Blue-fruit aromas and flavors are indistinct on the nose. Massive tannins, lemony oak, plastic and graphite notes drive the palate. The finish is a forced marriage of licorice, oak, and vanilla.",Classic Series,82,13.0,Colchagua Valley,,,Michael Schachner,@wineschach,Montes 2013 Classic Series Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,Montes,2013.0
Italy,"Toast, hazelnut and pastry aromas lead the way. The elegant palate delivers yellow apple, citrus zest and a hint of bread crust alongside small, persistent bubbles and fresh acidity.",Spumante Metodo Classico,88,35.0,Piedmont,Erbaluce di Caluso,,Kerin O’Keefe,@kerinokeefe,Tenuta Roletto 2009 Spumante Metodo Classico  (Erbaluce di Caluso),Erbaluce,Tenuta Roletto,2009.0
France,"This rosé from the Côtes du Rhône is ahead of the pack, with intense cherry and spice character, a dry, crisp palate and a lovely strawberry finish that hangs around just long enough.",,87,14.0,Rhône Valley,Côtes du Rhône,,,,E. Guigal 2008 Rosé (Côtes du Rhône),Rosé,E. Guigal,2008.0
US,"Starts off with softly perfumed cherries and dried leaves, then turns strongly piny on the palate. Finishes long, with tart cranberry and bitter-chocolate notes. Some excellent elements, including a lush yet structured mouthfeel, but some tasters will find the intense pine-bough flavor distracting.",Balcombe Vineyard,89,38.0,Oregon,Willamette Valley,Willamette Valley,Joe Czerwinski,@JoeCz,Torii Mor 1998 Balcombe Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Torii Mor,1998.0
US,"Rich and fruity, this reserve adds layers of spice and citrus to the peachy core of the regular bottling. Details of rind put a frame on the fruit, while a lightly toasty finish brings a lingering note of banana along for the ride.",Reserve,90,45.0,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine ,Blakeslee 2013 Reserve Chardonnay (Chehalem Mountains),Chardonnay,Blakeslee,2013.0
US,"A good but standard Pinot Noir, dry and silky, with proper varietal cherry, persimmon and cola flavors. The acid-tannin balance is off, with the wine feeling tart and astringent. Drink now.",,86,36.0,California,Carneros,Napa-Sonoma,,,Ancien 2008 Pinot Noir (Carneros),Pinot Noir,Ancien,2008.0
US,"Jewell threads the needle where so many others fail with this dry, elegant Sauvignon Blanc. Does exactly what it should, providing a mouthwateringly crisp white wine that scours and cleanses the palate. The flavors are of limes, lemons, grapefruits, wildflowers and stony, tangy minerals. Really a brilliant wine, among the best of its class.",Redwood Ranch,93,24.0,California,Alexander Valley,Sonoma,,,Joseph Jewell 2008 Redwood Ranch Sauvignon Blanc (Alexander Valley),Sauvignon Blanc,Joseph Jewell,2008.0
Italy,"Red berry, leather and aromatic herb aromas slowly appear in the glass along with a subtle whiff of violet. The taut palate is still tightly wound, offering red cherry, cranberry and star anise alongside youthfully assertive fine-grained tannins that leave a firm finish.",San Lorenzo di Verduno,92,65.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Fratelli Alessandria 2013 San Lorenzo di Verduno  (Barolo),Nebbiolo,Fratelli Alessandria,2013.0
Austria,"Peppery and tight, a wine with a distinctly dry character. Its black currant flavors are enveloped by the texture of the wine, although there is an excellent pink juicy character. Age for a year. Glass stopper.",,89,15.0,Burgenland,,,Roger Voss,@vossroger,Zantho 2009 Zweigelt (Burgenland),Zweigelt,Zantho,2009.0
Chile,"Grassy tropical fruit and melon aromas lead to chalk and lemon-lime rind flavors on the palate. It's lean in the mouth, for the most part. Stony-mineral flavors and a nice jalapeño note bat cleanup. 3,000 cases produced.",,87,11.0,Casablanca Valley,,,,,Morandé 2001 Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,Morandé,2001.0
Italy,"Organic farmer and winemaker Raffaele Di Tuccio delivers an easy 50-50 blend of Sangiovese and Montepulciano that bears simple aromas of cherry and wet earth. It shows a fresh, compact finish that would work nicely with tomato sauce and grated Parmigiano.",,86,15.0,Southern Italy,Puglia,,,,Antica Enotria 2010 Red (Puglia),Red Blend,Antica Enotria,2010.0
Spain,"Extremely smooth and inviting from the beginning through the midsection and onto the finish. Toffee and warm cobbler aromas start it off and lead to a textured, elegant palate with toasty, nutty flavors and a pinch of salt. The finish is robust, and at all points it's a take-charge wine. An amontillado for connoisseurs and anyone eager to enjoy the finer points of the style.",Almacenista Amontillado del Puerto,92,42.0,Andalucia,Jerez,,Michael Schachner,@wineschach,Lustau NV Almacenista Amontillado del Puerto Sherry (Jerez),Sherry,Lustau,
US,"Billed as a Cabernet lover's Merlot, this wine offers robustness as well as a soft, angular quality that provides a certain level of elegance. Oak, green olive and sage mark its bouquet, followed by flavors of red currant and dried herb.",Estate Grown,88,42.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Grgich Hills 2011 Estate Grown Merlot (Napa Valley),Merlot,Grgich Hills,2011.0
US,"This has a traditional medium-garnet color with brick rim. Effusive aromas that are smoky, beefy and earthy lead to distinctive wild berry, sage and cherry flavors. The texture is smooth but nicely supported by acid and tannins, and all the complexity of this wine lingers on the finish.",Borderline,92,28.0,California,Marin County,North Coast,Jim Gordon,@gordone_cellars,Bailiwick 2012 Borderline Pinot Noir (Marin County),Pinot Noir,Bailiwick,2012.0
France,"Pink fruited and light, with an attractive herbal character. The crisp acidity cuts right through the rich mouthfeel.Bright and lively, the finish has a grapefruit note that lends lift.",Les Belles Bastilles,90,18.0,Provence,Coteaux Varois,,Roger Voss,@vossroger,Château de l'Escarelle 2011 Les Belles Bastilles Rosé (Coteaux Varois),Rosé,Château de l'Escarelle,2011.0
Italy,"Here's a new producer from Valpolicella who presents a sharp and angular Amarone with fine aromas of spice, wild berry, black tobacco and tea leaf. The wine is bright and compact with soft tannins and natural freshness.",,88,,Veneto,Amarone della Valpolicella,,,,Falezza 2005  Amarone della Valpolicella,"Corvina, Rondinella, Molinara",Falezza,2005.0
France,"Ripe and juicy, this dense wine offers red-fruit flavors shot through with acidity. The old vines give depth to the rich wine that finishes with layers of bright fruit. Drink from 2018.",Vieilles Vignes,90,55.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Château de Santenay 2014 Vieilles Vignes  (Mercurey),Pinot Noir,Château de Santenay,2014.0
US,"Shows the elegance and pedigree that this estate vineyard, in the heart of the Oakville bench, always shows. The tannins are sweet and ripe, and the wine brims with luscious blackberry, cassis and mocha flavors, accented with new oak that's flashy, yet perfectly in keeping with the wine's volume. Should slowly mature over the years.",Estate Bottled,95,120.0,California,Oakville,Napa,,,Far Niente 2008 Estate Bottled Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Far Niente,2008.0
US,"This 100% varietal wine offers fairly locked up aromas of dried herb, red and black fruit, and barrel spice. The flavors are ripe and dark fruited, with a lovely sense of texture and presence that carries through the finish.",,91,30.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Tamarack Cellars 2014 Cabernet Franc (Wahluke Slope),Cabernet Franc,Tamarack Cellars,2014.0
Italy,"A blend of Sangiovese, Merlot and Syrah, this highlights aromas of underbrush, toasted notes and dark berry. The firm palate offers dried cherry, blackberry and a hint of truffle alongside chewy tannins.",Nessun Dorma,87,,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Antonio Sanguineti 2012 Nessun Dorma Red (Toscana),Red Blend,Antonio Sanguineti,2012.0
France,"Fascinating spice and green fruit characterize this wine that comes from the Chasselas grape still planted in the Loire in small quantities. With tight acidity and great freshness, this wine beckons for instant enjoyment.",Les Marnes,86,19.0,Loire Valley,Pouilly-sur-Loire,,Roger Voss,@vossroger,Fournier Père et Fils 2012 Les Marnes  (Pouilly-sur-Loire),Chasselas,Fournier Père et Fils,2012.0
US,"This unoaked effort sure tastes sweet, with flavors of sugared orange, mango and apple juice. The acidity is fine, giving balance to the sweetness.",Un-Oaked,85,14.0,California,Sonoma County,Sonoma,,,River Road 2011 Un-Oaked Chardonnay (Sonoma County),Chardonnay,River Road,2011.0
Italy,"This blend of Sangiovese, Merlot and Sagrantino is redolent with aromas of ripe black fruit and blue flower, with a whiff of leather. The palate delivers a savory wild cherry flavor, punctuated with white pepper, cinnamon and clove spice. Bracing yet fine tannins are balanced by fresh acidity. Drink 2015–2020.",,89,20.0,Central Italy,Montefalco Rosso,,Kerin O’Keefe,@kerinokeefe,Scacciadiavoli 2010  Montefalco Rosso,Red Blend,Scacciadiavoli,2010.0
US,"Rocky gravel meets plum blossoms, strawberry jam, cola and nutmeg on the nose of this single-vineyard expression by winemaker Brian Loring. Once sipped, dark and rich pomegranate and olallieberry fruit takes hold, with graphite minerality making a splash midpalate.",Kessler-Haak Vineyard,91,50.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Loring Wine Company 2014 Kessler-Haak Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Loring Wine Company,2014.0
Portugal,"Aragonez, or Tempranillo, is grown more widely in Alentejo than in Setúbal where this wine comes from. The move gives the wine a softer character, with fresh blackberry acidity and a smooth, ripe fruitiness. It has some gentle tannins to balance the fruit. Drink now.",Adega de Pegões,88,,Península de Setúbal,,,Roger Voss,@vossroger,Cooperativa Agricola de Santo Isidro de Pegoes 2012 Adega de Pegões Aragonez (Península de Setúbal),Aragonez,Cooperativa Agricola de Santo Isidro de Pegoes,2012.0
US,"An enormously fruity wine whose main appeal is its vast array of flavor. Cherries, raspberries, red currants, licorice, Dr. Pepper cola and milk chocolate flood the mouth, offset by crisp acidity and accented with sweet oak. Best now for its soft deliciousness.",Sierra Madre Vineyard,89,40.0,California,Santa Maria Valley,Central Coast,,,Sierra Madre 2008 Sierra Madre Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Sierra Madre,2008.0
US,"This delightful and refreshing wine is atypical in all the right ways. Intensely aromatic, it conveys a lush mix of honeysuckle, sweet hay, smoke, lime and honeydew melon. And that's before you take the first sip. The low alcohol and bright acidity set it up for a wide range of poultry, pasta and seafood options, and anything with goat cheese is sure-fire.",Panner-Hanson Vineyard Loiregon,92,20.0,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Leah Jørgensen Cellars 2014 Panner-Hanson Vineyard Loiregon Sauvignon Blanc (Rogue Valley),Sauvignon Blanc,Leah Jørgensen Cellars,2014.0
Chile,"This starts out with a whiff of earth and compost that transitions to olive, tree bark and herbal berry aromas upon airing. The palate feels good, with midlevel tannic bite and light, woody flavors of mint-infused licorice and berry. As the fruit element leaves the finish, mint, toast and green notes settle in.",Reserva Estate Grown,86,11.0,Colchagua Valley,,,Michael Schachner,@wineschach,Caliterra 2011 Reserva Estate Grown Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,Caliterra,2011.0
US,"This medium-bodied wine has an earthy edge and a good core of cherry and plum flavors. A touch of barnyard in the aroma, and earthy, leathery flavors accompany a very smooth and relatively light mouthfeel.",,85,24.0,California,California,California Other,Jim Gordon,@gordone_cellars,Cedar View Winery 2014 Syrah (California),Syrah,Cedar View Winery,2014.0
US,"Auxerrois, a cross between Pinot Noir and Gouais Blanc, creates an aromatic, lively, citrus and pear fruit-flavored white wine with a delicious mix of fruit, spice and even a hint of white chocolate. Fresh and more interesting than many Chardonnays, this is a sure-fire crowd-pleaser at any picnic or barbecue.",Ribbon Springs Vineyard,89,22.0,Oregon,Ribbon Ridge,Willamette Valley,Paul Gregutt,@paulgwine ,Adelsheim 2009 Ribbon Springs Vineyard Auxerrois (Ribbon Ridge),Auxerrois,Adelsheim,2009.0
France,"Another of the many Pessac-Léognan properties in the hands of the Lurton family, this up-and-coming estate is run by Laurent Cogombles, husband of Sophie Lurton. This white is fresh, straightforward, but with a great balance between herbaceous flavors and more weighty white fruits. It is the style of white that opens slowly, satisfyingly, and could even be decanted.",,91,,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Bouscaut 2007  Pessac-Léognan,Bordeaux-style White Blend,Château Bouscaut,2007.0
US,"A flashy wine, it's rich in fruit and classy in structure. The blend is based on Petit Verdot, an unusual choice, with Cabernet Sauvignon, Merlot and Cab Franc playing supporting roles. The wine is dry and tannic, with a ripe core of black currants. You can drink it now, but it really needsuntil 2022 to begin to come around.",Estate Blend,92,90.0,California,Coombsville,Napa,,,Sodaro 2010 Estate Blend Red (Coombsville),Bordeaux-style Red Blend,Sodaro,2010.0
US,"Big, bold and brawny, this wine from a very famous vineyard shows off its savory edge with tufts of clove, leather, gun smoke and tea, providing the requisite dustiness on the palate for which the region is known. Medium bodied and integrated well, it represents the vintage and region in all good ways.",Georges III Vineyard,90,95.0,California,Rutherford,Napa,Virginie Boone,@vboone,Frisson Wines 2012 Georges III Vineyard Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Frisson Wines,2012.0
Italy,"Made with no dosage, this is a blend of 70% Chardonnay and 30% Pinot Nero. Ripe apple, toasted walnut, lemon zest and bread dough flavors are backed up by crisp acidity. The refined perlage adds softness and elegance.",Dosaggiozero Riserva,90,52.0,Northeastern Italy,Trento,,Kerin O’Keefe,@kerinokeefe,Maso Martis 2009 Dosaggiozero Riserva Sparkling (Trento),Sparkling Blend,Maso Martis,2009.0
Canada,"Smooth and fruity, yet complex and complete, this excellent wine offers ample acid and polished tannins around pretty red fruits. Notes of citrus and spice, tobacco and toast linger through a satisfying finish.",,91,32.0,British Columbia,Okanagan Valley,,Paul Gregutt,@paulgwine ,Burrowing Owl 2013 Merlot (Okanagan Valley),Merlot,Burrowing Owl,2013.0
France,"Tart red currant and red apple mingle with tangy citrus on nose and palate. Very frothy lively mousse fizzes across the palate, making it refreshing and appetizing. The citrus and tart red-fruit notes appear again on the clean dry finish, making it moreish and long.",Mayerling Brut Rosé,89,40.0,Alsace,Crémant d'Alsace,,Anne Krebiehl MW,@AnneInVino,Cave de Turckheim NV Mayerling Brut Rosé Sparkling (Crémant d'Alsace),Sparkling Blend,Cave de Turckheim,
US,"A Bordeaux blend of five grapes, this melds blackberry and black cherry fruit with plenty of toasty oak and ground coffee. It's a nice mix of fruit and barrel, dark and smoky, but not too heavy at 14.2% alcohol.",Sur La Mer,91,28.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,William Church 2007 Sur La Mer Red (Columbia Valley (WA)),Bordeaux-style Red Blend,William Church,2007.0
US,"This wine is buttery and toasty, with sourdough on the nose alongside a hint of clementine pith. The palate is a creamy blend of mango, pineapple, sourdough and sweet cream flavors, with a slightly nutty finish.",Reserve,85,26.0,Virginia,Virginia,,Carrie Dykes,,New Kent 2014 Reserve Chardonnay (Virginia),Chardonnay,New Kent,2014.0
France,"Structured wine with a severe edge from the dry, concentrated tannins. It's serious, stalky fruit layered with a more juicy element and tight acidity. The wine does need aging to soften its austere character.",Excellence,88,24.0,Bordeaux,Côtes de Bourg,,Roger Voss,@vossroger,Château Tour de Guiet 2010 Excellence  (Côtes de Bourg),Bordeaux-style Red Blend,Château Tour de Guiet,2010.0
US,"Here's a round and fruity, ready-right-now Pinot Noir, anchored in strawberry fruit and lightly dusted with coffee grounds. The finish turns a bit stiff and stemmy.",,87,21.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Walnut City WineWorks 2012 Pinot Noir (Willamette Valley),Pinot Noir,Walnut City WineWorks,2012.0
France,"Still very young, this ripe Merlot-dominated wine is packed with dark plum and rich damson fruit flavors. They balance the serious amount of wood influence that gives it its spice and ageability. Drink from 2023.",,91,38.0,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Tour Grand Faurie 2015  Saint-Émilion,Bordeaux-style Red Blend,Château Tour Grand Faurie,2015.0
US,"The fruit flavors here are very good but simple: a wash of blackberry slathered in coffee, vanilla and sweet spice.",,87,42.0,Washington,Wahluke Slope,Columbia Valley,Paul Gregutt,@paulgwine ,Dusted Valley 2009 Malbec (Wahluke Slope),Malbec,Dusted Valley,2009.0
Italy,"Terre di Tufi is a rich and substantial white wine from Tuscany that ventures far enough in its pairing capacity to match toasted crostini with truffle oil, chopped tomatoes or chicken liver paté. It boasts tones of vanilla, pineapple and toasted nut with loads of persistency and intensity to move it forward.",Terre di Tufi,88,15.0,Tuscany,Toscana,,,,Teruzzi & Puthod 2009 Terre di Tufi White (Toscana),White Blend,Teruzzi & Puthod,2009.0
Argentina,"Ripe black-fruit aromas are loaded with fine oak and notes of licorice and sandalwood. A solid mile-deep palate is intense, layered and balanced. Creamy oak, aged cheese, black fruits and an exotic accent create an impressive combination of flavors, while this is muscular, warming and tastes dark and minty on the finish. Only 200 cases produced. Drink through 2022.",Paraje Altamira,94,60.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Seed 2015 Paraje Altamira Malbec (Mendoza),Malbec,Seed,2015.0
US,"This tasty blend of 60% Syrah and 40% Grenache offers blueberry, olallieberry, gamy goat meat and minty cola on the ever-so-slightly reductive nose. The palate picks up a bit of tar as well as cooked beef and pork, served in a sauce of elderberry and blackberry fruits.",Pendulum,92,35.0,California,Monterey County,Central Coast,Matt Kettmann,@mattkettmann,Baker & Brain 2012 Pendulum Syrah-Grenache (Monterey County),Syrah-Grenache,Baker & Brain,2012.0
